Epoch: 43/200  Train Loss: 0.1451  Train Acc: 94.82%  Val Loss: 0.3393  Val Acc: 90.07%  Best: 90.36%  Time: 11.6s
Epoch: 44/200  Train Loss: 0.1458  Train Acc: 94.82%  Val Loss: 0.3712  Val Acc: 89.17%  Best: 90.36%  Time: 11.9s
Epoch: 45/200  Train Loss: 0.1405  Train Acc: 94.97%  Val Loss: 0.3445  Val Acc: 89.92%  Best: 90.36%  Time: 11.7s
Epoch: 46/200  Train Loss: 0.1352  Train Acc: 95.15%  Val Loss: 0.3437  Val Acc: 90.19%  Best: 90.36%  Time: 11.6s
Epoch: 47/200  Train Loss: 0.1366  Train Acc: 95.16%  Val Loss: 0.3253  Val Acc: 90.48%  Best: 90.48%  Time: 11.8s
Epoch: 48/200  Train Loss: 0.1270  Train Acc: 95.49%  Val Loss: 0.3613  Val Acc: 89.79%  Best: 90.48%  Time: 11.6s
Epoch: 49/200  Train Loss: 0.1273  Train Acc: 95.48%  Val Loss: 0.3525  Val Acc: 89.75%  Best: 90.48%  Time: 11.7s
Epoch: 50/200  Train Loss: 0.1257  Train Acc: 95.53%  Val Loss: 0.3627  Val Acc: 89.93%  Best: 90.48%  Time: 11.6s
Epoch: 51/200  Train Loss: 0.1215  Train Acc: 95.78%  Val Loss: 0.3574  Val Acc: 90.05%  Best: 90.48%  Time: 11.8s
Epoch: 52/200  Train Loss: 0.1206  Train Acc: 95.72%  Val Loss: 0.3338  Val Acc: 90.62%  Best: 90.62%  Time: 11.6s
Epoch: 53/200  Train Loss: 0.1146  Train Acc: 95.92%  Val Loss: 0.3352  Val Acc: 90.79%  Best: 90.79%  Time: 11.6s
Epoch: 54/200  Train Loss: 0.1156  Train Acc: 96.00%  Val Loss: 0.3429  Val Acc: 90.27%  Best: 90.79%  Time: 11.8s
Epoch: 55/200  Train Loss: 0.1136  Train Acc: 96.00%  Val Loss: 0.3202  Val Acc: 90.66%  Best: 90.79%  Time: 11.5s
Epoch: 56/200  Train Loss: 0.1050  Train Acc: 96.31%  Val Loss: 0.3527  Val Acc: 90.23%  Best: 90.79%  Time: 11.7s
Epoch: 57/200  Train Loss: 0.1073  Train Acc: 96.08%  Val Loss: 0.3574  Val Acc: 90.00%  Best: 90.79%  Time: 11.9s
Epoch: 58/200  Train Loss: 0.1079  Train Acc: 96.20%  Val Loss: 0.3202  Val Acc: 91.10%  Best: 91.10%  Time: 11.7s
Epoch: 59/200  Train Loss: 0.1001  Train Acc: 96.41%  Val Loss: 0.3461  Val Acc: 90.31%  Best: 91.10%  Time: 11.9s
Epoch: 60/200  Train Loss: 0.1008  Train Acc: 96.38%  Val Loss: 0.3853  Val Acc: 89.68%  Best: 91.10%  Time: 11.7s
Epoch: 61/200  Train Loss: 0.1019  Train Acc: 96.39%  Val Loss: 0.3304  Val Acc: 90.98%  Best: 91.10%  Time: 11.7s
Epoch: 62/200  Train Loss: 0.1000  Train Acc: 96.46%  Val Loss: 0.3809  Val Acc: 90.06%  Best: 91.10%  Time: 11.8s
Epoch: 63/200  Train Loss: 0.0951  Train Acc: 96.71%  Val Loss: 0.3275  Val Acc: 91.12%  Best: 91.12%  Time: 11.7s
Epoch: 64/200  Train Loss: 0.0920  Train Acc: 96.71%  Val Loss: 0.3645  Val Acc: 90.37%  Best: 91.12%  Time: 12.3s
Epoch: 65/200  Train Loss: 0.0890  Train Acc: 96.80%  Val Loss: 0.3359  Val Acc: 90.66%  Best: 91.12%  Time: 11.9s
Epoch: 66/200  Train Loss: 0.0933  Train Acc: 96.69%  Val Loss: 0.3135  Val Acc: 91.25%  Best: 91.25%  Time: 11.8s
Epoch: 67/200  Train Loss: 0.0893  Train Acc: 96.80%  Val Loss: 0.3567  Val Acc: 90.64%  Best: 91.25%  Time: 11.9s
Epoch: 68/200  Train Loss: 0.0846  Train Acc: 97.03%  Val Loss: 0.3300  Val Acc: 90.76%  Best: 91.25%  Time: 11.9s
Epoch: 69/200  Train Loss: 0.0868  Train Acc: 96.92%  Val Loss: 0.3392  Val Acc: 90.92%  Best: 91.25%  Time: 11.6s
Epoch: 70/200  Train Loss: 0.0822  Train Acc: 97.15%  Val Loss: 0.3717  Val Acc: 90.42%  Best: 91.25%  Time: 11.8s
Epoch: 71/200  Train Loss: 0.0814  Train Acc: 97.08%  Val Loss: 0.3564  Val Acc: 90.67%  Best: 91.25%  Time: 11.7s
Epoch: 72/200  Train Loss: 0.0802  Train Acc: 97.17%  Val Loss: 0.3254  Val Acc: 91.24%  Best: 91.25%  Time: 11.8s
Epoch: 73/200  Train Loss: 0.0782  Train Acc: 97.26%  Val Loss: 0.3540  Val Acc: 90.88%  Best: 91.25%  Time: 11.7s
Epoch: 74/200  Train Loss: 0.0775  Train Acc: 97.29%  Val Loss: 0.3768  Val Acc: 90.58%  Best: 91.25%  Time: 11.6s
Epoch: 75/200  Train Loss: 0.0740  Train Acc: 97.45%  Val Loss: 0.3560  Val Acc: 90.97%  Best: 91.25%  Time: 11.8s
Epoch: 76/200  Train Loss: 0.0713  Train Acc: 97.52%  Val Loss: 0.3786  Val Acc: 90.54%  Best: 91.25%  Time: 11.7s
Epoch: 77/200  Train Loss: 0.0747  Train Acc: 97.27%  Val Loss: 0.3620  Val Acc: 90.75%  Best: 91.25%  Time: 11.7s
Epoch: 78/200  Train Loss: 0.0725  Train Acc: 97.50%  Val Loss: 0.3867  Val Acc: 90.05%  Best: 91.25%  Time: 11.7s
Epoch: 79/200  Train Loss: 0.0716  Train Acc: 97.50%  Val Loss: 0.3488  Val Acc: 91.03%  Best: 91.25%  Time: 11.4s
Epoch: 80/200  Train Loss: 0.0671  Train Acc: 97.57%  Val Loss: 0.3459  Val Acc: 91.22%  Best: 91.25%  Time: 11.9s
Epoch: 81/200  Train Loss: 0.0680  Train Acc: 97.65%  Val Loss: 0.3386  Val Acc: 91.41%  Best: 91.41%  Time: 11.7s
