Epoch: 43/300  Train Loss: 0.5518  Train Acc: 80.95%  Val Loss: 0.2891  Val Acc: 90.26%  Best: 90.26%  Time: 12.9s
Epoch: 44/300  Train Loss: 0.5402  Train Acc: 81.03%  Val Loss: 0.3781  Val Acc: 86.99%  Best: 90.26%  Time: 12.5s
Epoch: 45/300  Train Loss: 0.5434  Train Acc: 81.08%  Val Loss: 0.3181  Val Acc: 89.08%  Best: 90.26%  Time: 12.5s
Epoch: 46/300  Train Loss: 0.5370  Train Acc: 81.11%  Val Loss: 0.3047  Val Acc: 89.67%  Best: 90.26%  Time: 12.7s
Epoch: 47/300  Train Loss: 0.5368  Train Acc: 81.23%  Val Loss: 0.2934  Val Acc: 89.82%  Best: 90.26%  Time: 12.5s
Epoch: 48/300  Train Loss: 0.5268  Train Acc: 81.51%  Val Loss: 0.3221  Val Acc: 89.09%  Best: 90.26%  Time: 12.8s
Epoch: 49/300  Train Loss: 0.5241  Train Acc: 81.73%  Val Loss: 0.2920  Val Acc: 90.07%  Best: 90.26%  Time: 13.2s
Epoch: 50/300  Train Loss: 0.5220  Train Acc: 81.78%  Val Loss: 0.3079  Val Acc: 89.29%  Best: 90.26%  Time: 12.5s
Epoch: 51/300  Train Loss: 0.5169  Train Acc: 82.06%  Val Loss: 0.2902  Val Acc: 89.98%  Best: 90.26%  Time: 12.7s
Epoch: 52/300  Train Loss: 0.5231  Train Acc: 81.92%  Val Loss: 0.2864  Val Acc: 90.20%  Best: 90.26%  Time: 12.8s
Epoch: 53/300  Train Loss: 0.5134  Train Acc: 81.93%  Val Loss: 0.2793  Val Acc: 90.33%  Best: 90.33%  Time: 12.7s
Epoch: 54/300  Train Loss: 0.5156  Train Acc: 82.08%  Val Loss: 0.2768  Val Acc: 90.67%  Best: 90.67%  Time: 13.0s
Epoch: 55/300  Train Loss: 0.5055  Train Acc: 82.23%  Val Loss: 0.2765  Val Acc: 90.54%  Best: 90.67%  Time: 12.9s
Epoch: 56/300  Train Loss: 0.5039  Train Acc: 82.31%  Val Loss: 0.2666  Val Acc: 91.02%  Best: 91.02%  Time: 12.7s
Epoch: 57/300  Train Loss: 0.5069  Train Acc: 82.37%  Val Loss: 0.2755  Val Acc: 90.37%  Best: 91.02%  Time: 12.6s
Epoch: 58/300  Train Loss: 0.4993  Train Acc: 82.36%  Val Loss: 0.2797  Val Acc: 90.49%  Best: 91.02%  Time: 12.6s
Epoch: 59/300  Train Loss: 0.4978  Train Acc: 82.49%  Val Loss: 0.2648  Val Acc: 90.80%  Best: 91.02%  Time: 12.7s
Epoch: 60/300  Train Loss: 0.4924  Train Acc: 82.75%  Val Loss: 0.2738  Val Acc: 90.26%  Best: 91.02%  Time: 12.6s
Epoch: 61/300  Train Loss: 0.4894  Train Acc: 82.90%  Val Loss: 0.2865  Val Acc: 90.64%  Best: 91.02%  Time: 12.7s
Epoch: 62/300  Train Loss: 0.4945  Train Acc: 82.76%  Val Loss: 0.2695  Val Acc: 90.64%  Best: 91.02%  Time: 12.7s
Epoch: 63/300  Train Loss: 0.4821  Train Acc: 83.12%  Val Loss: 0.2689  Val Acc: 90.77%  Best: 91.02%  Time: 12.6s
Epoch: 64/300  Train Loss: 0.4818  Train Acc: 83.11%  Val Loss: 0.2715  Val Acc: 90.97%  Best: 91.02%  Time: 12.7s
Epoch: 65/300  Train Loss: 0.4830  Train Acc: 83.03%  Val Loss: 0.2782  Val Acc: 90.24%  Best: 91.02%  Time: 12.5s
Epoch: 66/300  Train Loss: 0.4848  Train Acc: 83.05%  Val Loss: 0.2771  Val Acc: 90.70%  Best: 91.02%  Time: 12.8s
Epoch: 67/300  Train Loss: 0.4797  Train Acc: 83.34%  Val Loss: 0.2460  Val Acc: 91.51%  Best: 91.51%  Time: 12.7s
Epoch: 68/300  Train Loss: 0.4730  Train Acc: 83.37%  Val Loss: 0.2628  Val Acc: 91.29%  Best: 91.51%  Time: 12.7s
Epoch: 69/300  Train Loss: 0.4799  Train Acc: 83.16%  Val Loss: 0.2552  Val Acc: 91.40%  Best: 91.51%  Time: 12.6s
Epoch: 70/300  Train Loss: 0.4714  Train Acc: 83.49%  Val Loss: 0.2493  Val Acc: 91.60%  Best: 91.60%  Time: 12.8s
Epoch: 71/300  Train Loss: 0.4725  Train Acc: 83.48%  Val Loss: 0.2476  Val Acc: 91.54%  Best: 91.60%  Time: 12.6s
Epoch: 72/300  Train Loss: 0.4597  Train Acc: 83.93%  Val Loss: 0.2589  Val Acc: 91.03%  Best: 91.60%  Time: 12.3s
Epoch: 73/300  Train Loss: 0.4668  Train Acc: 83.64%  Val Loss: 0.2703  Val Acc: 90.85%  Best: 91.60%  Time: 13.0s
Epoch: 74/300  Train Loss: 0.4667  Train Acc: 83.64%  Val Loss: 0.2676  Val Acc: 90.71%  Best: 91.60%  Time: 12.4s
Epoch: 75/300  Train Loss: 0.4614  Train Acc: 83.81%  Val Loss: 0.2482  Val Acc: 91.65%  Best: 91.65%  Time: 12.6s
Epoch: 76/300  Train Loss: 0.4636  Train Acc: 83.83%  Val Loss: 0.2463  Val Acc: 91.63%  Best: 91.65%  Time: 12.5s
Epoch: 77/300  Train Loss: 0.4521  Train Acc: 84.25%  Val Loss: 0.2454  Val Acc: 91.83%  Best: 91.83%  Time: 12.7s
Epoch: 78/300  Train Loss: 0.4588  Train Acc: 84.01%  Val Loss: 0.2631  Val Acc: 90.78%  Best: 91.83%  Time: 12.6s
Epoch: 79/300  Train Loss: 0.4579  Train Acc: 83.85%  Val Loss: 0.2704  Val Acc: 90.80%  Best: 91.83%  Time: 12.6s
Epoch: 80/300  Train Loss: 0.4565  Train Acc: 83.99%  Val Loss: 0.2710  Val Acc: 90.83%  Best: 91.83%  Time: 12.7s
Epoch: 81/300  Train Loss: 0.4543  Train Acc: 83.95%  Val Loss: 0.2334  Val Acc: 92.14%  Best: 92.14%  Time: 12.8s
Epoch: 82/300  Train Loss: 0.4530  Train Acc: 84.09%  Val Loss: 0.2501  Val Acc: 91.77%  Best: 92.14%  Time: 12.5s
Epoch: 83/300  Train Loss: 0.4445  Train Acc: 84.50%  Val Loss: 0.2324  Val Acc: 92.21%  Best: 92.21%  Time: 12.8s
Epoch: 84/300  Train Loss: 0.4414  Train Acc: 84.54%  Val Loss: 0.2479  Val Acc: 91.27%  Best: 92.21%  Time: 12.6s
Epoch: 85/300  Train Loss: 0.4416  Train Acc: 84.48%  Val Loss: 0.2407  Val Acc: 91.99%  Best: 92.21%  Time: 12.6s
Epoch: 86/300  Train Loss: 0.4428  Train Acc: 84.56%  Val Loss: 0.2430  Val Acc: 91.51%  Best: 92.21%  Time: 12.4s
Epoch: 87/300  Train Loss: 0.4415  Train Acc: 84.57%  Val Loss: 0.2321  Val Acc: 91.97%  Best: 92.21%  Time: 12.6s
Epoch: 88/300  Train Loss: 0.4379  Train Acc: 84.77%  Val Loss: 0.2287  Val Acc: 92.25%  Best: 92.25%  Time: 12.7s
Epoch: 89/300  Train Loss: 0.4403  Train Acc: 84.55%  Val Loss: 0.2382  Val Acc: 92.03%  Best: 92.25%  Time: 12.5s
Epoch: 90/300  Train Loss: 0.4383  Train Acc: 84.63%  Val Loss: 0.2298  Val Acc: 92.23%  Best: 92.25%  Time: 13.5s
Epoch: 91/300  Train Loss: 0.4307  Train Acc: 84.93%  Val Loss: 0.2440  Val Acc: 91.79%  Best: 92.25%  Time: 13.5s
Epoch: 92/300  Train Loss: 0.4301  Train Acc: 84.99%  Val Loss: 0.2351  Val Acc: 91.95%  Best: 92.25%  Time: 12.8s
Epoch: 93/300  Train Loss: 0.4312  Train Acc: 84.88%  Val Loss: 0.2402  Val Acc: 91.88%  Best: 92.25%  Time: 12.7s
Epoch: 94/300  Train Loss: 0.4325  Train Acc: 84.79%  Val Loss: 0.2305  Val Acc: 92.05%  Best: 92.25%  Time: 12.8s
Epoch: 95/300  Train Loss: 0.4235  Train Acc: 85.04%  Val Loss: 0.2373  Val Acc: 91.99%  Best: 92.25%  Time: 12.4s
Epoch: 96/300  Train Loss: 0.4216  Train Acc: 85.35%  Val Loss: 0.2209  Val Acc: 92.67%  Best: 92.67%  Time: 12.6s
Epoch: 97/300  Train Loss: 0.4302  Train Acc: 85.04%  Val Loss: 0.2287  Val Acc: 92.20%  Best: 92.67%  Time: 12.3s
Epoch: 98/300  Train Loss: 0.4192  Train Acc: 85.48%  Val Loss: 0.2355  Val Acc: 92.02%  Best: 92.67%  Time: 12.4s
Epoch: 99/300  Train Loss: 0.4224  Train Acc: 85.17%  Val Loss: 0.2255  Val Acc: 92.58%  Best: 92.67%  Time: 12.5s
Epoch: 100/300  Train Loss: 0.4161  Train Acc: 85.38%  Val Loss: 0.2374  Val Acc: 92.30%  Best: 92.67%  Time: 12.4s
Epoch: 101/300  Train Loss: 0.4243  Train Acc: 85.18%  Val Loss: 0.2335  Val Acc: 92.11%  Best: 92.67%  Time: 12.4s
Epoch: 102/300  Train Loss: 0.4198  Train Acc: 85.29%  Val Loss: 0.2338  Val Acc: 92.34%  Best: 92.67%  Time: 12.5s
Epoch: 103/300  Train Loss: 0.4140  Train Acc: 85.56%  Val Loss: 0.2425  Val Acc: 91.64%  Best: 92.67%  Time: 12.8s
Epoch: 104/300  Train Loss: 0.4170  Train Acc: 85.47%  Val Loss: 0.2331  Val Acc: 92.10%  Best: 92.67%  Time: 12.6s
Epoch: 105/300  Train Loss: 0.4142  Train Acc: 85.40%  Val Loss: 0.2224  Val Acc: 92.31%  Best: 92.67%  Time: 12.9s
Epoch: 106/300  Train Loss: 0.4119  Train Acc: 85.52%  Val Loss: 0.2366  Val Acc: 92.28%  Best: 92.67%  Time: 12.7s
